0.308 3.29 6890.5
0.308 3.32 7222.72
0.308 3.35 7557.39
0.308 3.38 7893.86
0.308 3.41 8231.52
0.308 3.44 8569.8
0.308 3.47 8908.17
0.316 2 5706.68
0.316 2.03 5296.38
0.316 2.06 4901.68
0.316 2.09 4524.11
0.316 2.12 4165.1
0.316 2.15 3825.98
0.316 2.18 3507.95
0.316 2.21 3212.1
0.316 2.24 2939.41
0.316 2.27 2690.71
0.316 2.3 2466.7
0.316 2.33 2267.95
0.316 2.36 2094.9
0.316 2.39 1947.81
0.316 2.42 1826.86
0.316 2.45 1732.06
0.316 2.48 1663.31
0.316 2.51 1620.4
0.316 2.54 1603
0.316 2.57 1610.67
0.316 2.6 1642.85
0.316 2.63 1698.89
0.316 2.66 1777.97
0.316 2.69 1864.34
0.316 2.72 1966.84
0.316 2.75 2090.8
0.316 2.78 2235.35
0.316 2.81 2399.53
0.316 2.84 2582.32
0.316 2.87 2782.66
0.316 2.9 2999.47
0.316 2.93 3231.68
0.316 2.96 3478.21
0.316 2.99 3738.03
0.316 3.02 4010.11
0.316 3.05 4293.46
0.316 3.08 4587.08
0.316 3.11 4890.02
0.316 3.14 5201.31
0.316 3.17 5519.99
0.316 3.2 5845.13
0.316 3.23 6175.8
0.316 3.26 6511.12
0.316 3.29 6850.25
0.316 3.32 7192.39
0.316 3.35 7536.8
0.316 3.38 7882.78
0.316 3.41 8229.71
0.316 3.44 8577.01
0.316 3.47 8924.14
0.324 2 5607.51
0.324 2.03 5185.41
0.324 2.06 4779.23
0.324 2.09 4390.57
0.324 2.12 4020.96
0.324 2.15 3671.79
0.324 2.18 3344.34
0.324 2.21 3039.76
0.324 2.24 2759.07
0.324 2.27 2503.15
0.324 2.3 2272.75
0.324 2.33 2068.48
0.324 2.36 1890.77
0.324 2.39 1739.94
0.324 2.42 1616.15
0.324 2.45 1519.43
0.324 2.48 1449.68
0.324 2.51 1406.68
0.324 2.54 1390.08
0.324 2.57 1399.43
0.324 2.6 1434.17
0.324 2.63 1493.59
0.324 2.66 1576.86
0.324 2.69 1682.91
0.324 2.72 1771.01
0.324 2.75 1900.65
0.324 2.78 2051.57
0.324 2.81 2222.77
