# sin^2(theta_24)   Delta_m^2_41   chi^2
6.30957e-05 0.125893 1178.86
6.30957e-05 0.158489 2982.67
6.30957e-05 0.199526 7517.52
6.30957e-05 0.251189 18873.2
6.30957e-05 0.316228 47156.3
6.30957e-05 0.398107 117078
6.30957e-05 0.501187 288171
6.30957e-05 0.630957 701043
6.30957e-05 0.794328 1.67977e+06
6.30957e-05 1 3.95066e+06
6.30957e-05 1.25893 9.08055e+06
6.30957e-05 1.58489 2.01721e+07
6.30957e-05 1.99526 4.20568e+07
6.30957e-05 2.51189 7.81311e+07
6.30957e-05 3.16228 1.22422e+08
6.30957e-05 3.98107 1.58167e+08
6.30957e-05 5.01187 1.73612e+08
6.30957e-05 6.30957 1.72589e+08
6.30957e-05 7.94328 1.619e+08
6.30957e-05 10 1.3347e+08
6.30957e-05 12.5893 9.00245e+07
6.30957e-05 15.8489 6.51517e+07
6.30957e-05 19.9526 5.24748e+07
6.30957e-05 25.1189 3.61205e+07
6.30957e-05 31.6228 2.95086e+07
6.30957e-05 39.8107 2.21118e+07
6.30957e-05 50.1187 1.297e+07
6.30957e-05 63.0957 7.7114e+06
6.30957e-05 79.4328 5.27091e+06
7.94328e-05 0.0001 -1.42778
7.94328e-05 0.000125893 -1.44831
7.94328e-05 0.000158489 -1.63824
7.94328e-05 0.000199526 -1.46442
7.94328e-05 0.000251189 -1.43738
7.94328e-05 0.000316228 -1.6473
7.94328e-05 0.000398107 -1.6521
7.94328e-05 0.000501187 -1.55694
7.94328e-05 0.000630957 -1.51044
7.94328e-05 0.000794328 -1.53028
7.94328e-05 0.001 -1.4355
7.94328e-05 0.00125893 -1.4893
7.94328e-05 0.00158489 -1.75569
7.94328e-05 0.00199526 -1.56094
7.94328e-05 0.00251189 -1.51167
7.94328e-05 0.00316228 -1.27703
7.94328e-05 0.00398107 -1.3966
7.94328e-05 0.00501187 -1.4458
7.94328e-05 0.00630957 -1.38796
7.94328e-05 0.00794328 -1.21664
7.94328e-05 0.01 -1.1081
7.94328e-05 0.0125893 -0.728475
7.94328e-05 0.0158489 -0.080148
7.94328e-05 0.0199526 0.357161
7.94328e-05 0.0251189 2.22222
7.94328e-05 0.0316228 6.05629
7.94328e-05 0.0398107 16.2009
7.94328e-05 0.0501187 43.2399
7.94328e-05 0.0630957 112.426
7.94328e-05 0.0794328 289.225
7.94328e-05 0.1 736.354
